Timestamp,Emotion
2025-06-11 01:31:49,Neutral
2025-06-11 01:31:49,Neutral
2025-06-11 01:31:50,Neutral
2025-06-11 01:31:50,Neutral
2025-06-11 01:31:50,Neutral
2025-06-11 01:31:50,Neutral
2025-06-11 01:31:50,Happy
2025-06-11 01:31:50,Happy
2025-06-11 01:31:50,Happy
2025-06-11 01:31:50,Happy
2025-06-11 01:31:50,Happy
2025-06-11 01:31:50,Happy
2025-06-11 01:31:50,Fear
2025-06-11 01:31:50,Happy
2025-06-11 01:31:50,Happy
2025-06-11 01:31:50,Happy
2025-06-11 01:31:50,Happy
2025-06-11 01:31:50,Happy
2025-06-11 01:31:51,Happy
2025-06-11 01:31:51,Happy
2025-06-11 01:31:51,Happy
2025-06-11 01:31:51,Happy
2025-06-11 01:31:51,Happy
2025-06-11 01:31:51,Happy
2025-06-11 01:31:51,Happy
2025-06-11 01:31:51,Neutral
2025-06-11 01:31:51,Happy
2025-06-11 01:31:51,Fear
2025-06-11 01:31:51,Angry
2025-06-11 01:31:51,Angry
2025-06-11 01:31:51,Happy
2025-06-11 01:31:51,Happy
2025-06-11 01:31:51,Happy
2025-06-11 01:31:51,Happy
2025-06-11 01:31:52,Happy
2025-06-11 01:31:52,Happy
2025-06-11 01:31:52,Happy
2025-06-11 01:31:52,Happy
2025-06-11 01:31:52,Happy
2025-06-11 01:31:52,Happy
2025-06-11 01:31:52,Happy
2025-06-11 01:31:52,Neutral
2025-06-11 01:31:52,Happy
2025-06-11 01:31:52,Happy
2025-06-11 01:31:52,Neutral
2025-06-11 01:31:52,Happy
2025-06-11 01:31:52,Happy
2025-06-11 01:31:52,Angry
2025-06-11 01:31:52,Happy
2025-06-11 01:31:52,Angry
2025-06-11 01:31:52,Fear
2025-06-11 01:31:53,Happy
2025-06-11 01:31:53,Surprise
2025-06-11 01:31:53,Fear
2025-06-11 01:31:53,Neutral
2025-06-11 01:31:53,Neutral
2025-06-11 01:31:53,Fear
2025-06-11 01:31:53,Neutral
2025-06-11 01:31:53,Fear
2025-06-11 01:31:53,Neutral
2025-06-11 01:31:53,Neutral
2025-06-11 01:31:53,Angry
2025-06-11 01:31:53,Neutral
2025-06-11 01:31:53,Neutral
2025-06-11 01:31:53,Neutral
2025-06-11 01:31:53,Fear
2025-06-11 01:31:53,Angry
2025-06-11 01:31:53,Neutral
2025-06-11 01:31:54,Angry
2025-06-11 01:31:54,Neutral
2025-06-11 01:31:54,Angry
2025-06-11 01:31:54,Fear
2025-06-11 01:31:54,Angry
2025-06-11 01:31:54,Fear
2025-06-11 01:31:54,Happy
2025-06-11 01:31:54,Happy
2025-06-11 01:31:54,Happy
2025-06-11 01:31:54,Happy
2025-06-11 01:31:54,Happy
2025-06-11 01:31:54,Happy
2025-06-11 01:31:54,Happy
2025-06-11 01:31:54,Happy
2025-06-11 01:31:54,Happy
2025-06-11 01:31:54,Happy
2025-06-11 01:31:55,Happy
2025-06-11 01:31:55,Neutral
2025-06-11 01:31:55,Neutral
2025-06-11 01:31:55,Happy
2025-06-11 01:31:55,Neutral
2025-06-11 01:31:55,Neutral
2025-06-11 01:31:55,Happy
2025-06-11 01:31:55,Surprise
2025-06-11 01:31:56,Surprise
2025-06-11 01:31:56,Surprise
2025-06-11 01:31:56,Neutral
2025-06-11 01:31:56,Surprise
2025-06-11 01:31:56,Neutral
2025-06-11 01:31:56,Fear
2025-06-11 01:31:56,Fear
2025-06-11 01:31:57,Fear
2025-06-11 01:31:57,Fear
2025-06-11 01:31:57,Fear
2025-06-11 01:31:57,Happy
2025-06-11 01:31:57,Angry
2025-06-11 01:31:57,Neutral
2025-06-11 01:31:57,Angry
2025-06-11 01:31:57,Fear
2025-06-11 01:31:57,Angry
2025-06-11 01:31:58,Neutral
2025-06-11 01:31:58,Angry
2025-06-11 01:31:58,Neutral
2025-06-11 01:31:58,Happy
2025-06-11 01:31:58,Neutral
2025-06-11 01:31:58,Happy
2025-06-11 01:31:58,Neutral
2025-06-11 01:31:58,Angry
2025-06-11 01:31:59,Happy
2025-06-11 01:31:59,Angry
2025-06-11 01:31:59,Happy
2025-06-11 01:31:59,Happy
2025-06-11 01:31:59,Happy
2025-06-11 01:31:59,Happy
2025-06-11 01:31:59,Happy
2025-06-11 01:31:59,Happy
2025-06-11 01:32:00,Happy
2025-06-11 01:32:00,Happy
2025-06-11 01:32:00,Happy
2025-06-11 01:32:00,Happy
2025-06-11 01:32:00,Happy
2025-06-11 01:32:00,Angry
2025-06-11 01:32:00,Neutral
2025-06-11 01:32:00,Neutral
2025-06-11 01:32:01,Angry
2025-06-11 01:32:01,Angry
2025-06-11 01:32:01,Fear
2025-06-11 01:32:01,Angry
2025-06-11 01:32:01,Angry
2025-06-11 01:32:01,Angry
2025-06-11 01:32:01,Angry
2025-06-11 01:32:01,Angry
2025-06-11 01:32:02,Fear
2025-06-11 01:32:02,Happy
2025-06-11 01:32:02,Happy
2025-06-11 01:32:02,Angry
2025-06-11 01:32:02,Angry
2025-06-11 01:32:02,Happy
2025-06-11 01:32:02,Happy
2025-06-11 01:32:02,Angry
2025-06-11 01:32:03,Angry
2025-06-11 01:32:03,Angry
2025-06-11 01:32:03,Surprise
2025-06-11 01:32:03,Angry
2025-06-11 01:32:03,Angry
2025-06-11 01:32:03,Angry
2025-06-11 01:32:03,Happy
2025-06-11 01:32:04,Happy
2025-06-11 01:32:04,Angry
2025-06-11 01:32:04,Angry
2025-06-11 01:32:04,Happy
2025-06-11 01:32:04,Happy
2025-06-11 01:32:04,Happy
2025-06-11 01:32:04,Happy
2025-06-11 01:32:04,Angry
2025-06-11 01:32:04,Surprise
2025-06-11 01:32:04,Fear
2025-06-11 01:32:04,Happy
